height_mm,volume_litres
0.000,0.000000
0.100,0.009260
0.200,0.018564
0.300,0.027914
0.400,0.037310
0.500,0.046751
0.600,0.056238
0.700,0.065770
0.800,0.075348
0.900,0.084971
1.000,0.094640
1.100,0.104354
1.200,0.114114
1.300,0.123919
1.400,0.133770
1.500,0.143666
1.600,0.153608
1.700,0.163595
1.800,0.173627
1.900,0.183705
2.000,0.193828
2.100,0.203997
2.200,0.214212
2.300,0.224471
2.400,0.234776
2.500,0.245127
2.600,0.255522
2.700,0.265964
2.800,0.276450
2.900,0.286982
3.000,0.297560
3.100,0.308182
3.200,0.318851
3.300,0.329564
3.400,0.340323
3.500,0.351127
3.600,0.361976
3.700,0.372871
3.800,0.383811
3.900,0.394797
4.000,0.405827
4.100,0.416903
4.200,0.428025
4.300,0.439191
4.400,0.450403
4.500,0.461660
4.600,0.472963
4.700,0.484311
4.800,0.495704
4.900,0.507142
5.000,0.518625
5.100,0.530154
5.200,0.541728
5.300,0.553347
5.400,0.565011
5.500,0.576721
5.600,0.588476
5.700,0.600276
5.800,0.612121
5.900,0.624011
6.000,0.635947
6.100,0.647928
6.200,0.659954
6.300,0.672025
6.400,0.684141
6.500,0.696302
6.600,0.708509
6.700,0.720761
6.800,0.733057
6.900,0.745399
7.000,0.757786
7.100,0.770218
7.200,0.782696
7.300,0.795218
7.400,0.807786
7.500,0.820398
7.600,0.833056
7.700,0.845758
7.800,0.858506
7.900,0.871299
8.000,0.884137
8.100,0.897020
8.200,0.909948
8.300,0.922921
8.400,0.935939
8.500,0.949002
8.600,0.962110
8.700,0.975263
8.800,0.988461
8.900,1.001705
9.000,1.014993
9.100,1.028326
9.200,1.041704
9.300,1.055127
9.400,1.068595
9.500,1.082108
9.600,1.095666
9.700,1.109269
9.800,1.122917
9.900,1.136609
10.000,1.150347
10.100,1.164130
10.200,1.177957
10.300,1.191830
10.400,1.205747
10.500,1.219709
10.600,1.233717
10.700,1.247769
10.800,1.261866
10.900,1.276007
11.000,1.290194
11.100,1.304426
11.200,1.318702
11.300,1.333023
11.400,1.347389
11.500,1.361800
11.600,1.376256
11.700,1.390757
11.800,1.405302
11.900,1.419892
12.000,1.434527
12.100,1.449207
12.200,1.463932
12.300,1.478701
12.400,1.493515
12.500,1.508374
12.600,1.523278
12.700,1.538226
12.800,1.553220
12.900,1.568258
13.000,1.583340
13.100,1.598468
13.200,1.613640
13.300,1.628857
13.400,1.644119
13.500,1.659425
13.600,1.674776
13.700,1.690172
13.800,1.705612
13.900,1.721097
14.000,1.736627
14.100,1.752202
14.200,1.767821
14.300,1.783484
14.400,1.799193
14.500,1.814946
14.600,1.830744
14.700,1.846586
14.800,1.862473
14.900,1.878405
15.000,1.894381
15.100,1.910402
15.200,1.926467
15.300,1.942577
15.400,1.958732
15.500,1.974931
15.600,1.991175
15.700,2.007464
15.800,2.023797
15.900,2.040174
16.000,2.056596
16.100,2.073063
16.200,2.089574
16.300,2.106130
16.400,2.122730
16.500,2.139375
16.600,2.156064
16.700,2.172798
16.800,2.189576
16.900,2.206399
17.000,2.223266
17.100,2.240178
17.200,2.257134
17.300,2.274135
17.400,2.291180
17.500,2.308270
17.600,2.325404
17.700,2.342582
17.800,2.359805
17.900,2.377073
18.000,2.394384
18.100,2.411741
18.200,2.429141
18.300,2.446586
18.400,2.464076
18.500,2.481610
18.600,2.499188
18.700,2.516811
18.800,2.534478
18.900,2.552189
19.000,2.569945
19.100,2.587745
19.200,2.605590
19.300,2.623478
19.400,2.641412
19.500,2.659389
19.600,2.677411
19.700,2.695477
19.800,2.713588
19.900,2.731742
20.000,2.749942
20.100,2.768185
20.200,2.786473
20.300,2.804805
20.400,2.823181
20.500,2.841601
20.600,2.860066
20.700,2.878575
20.800,2.897128
20.900,2.915726
21.000,2.934368
21.100,2.953054
21.200,2.971784
21.300,2.990558
21.400,3.009377
21.500,3.028240
21.600,3.047147
21.700,3.066098
21.800,3.085094
21.900,3.104133
22.000,3.123217
22.100,3.142345
22.200,3.161517
22.300,3.180734
22.400,3.199994
22.500,3.219299
22.600,3.238648
22.700,3.258040
22.800,3.277477
22.900,3.296959
23.000,3.316484
23.100,3.336053
23.200,3.355667
23.300,3.375324
23.400,3.395026
23.500,3.414772
23.600,3.434561
23.700,3.454395
23.800,3.474273
23.900,3.494195
24.000,3.514161
24.100,3.534171
24.200,3.554225
24.300,3.574324
24.400,3.594466
24.500,3.614652
24.600,3.634882
24.700,3.655156
24.800,3.675475
24.900,3.695837
25.000,3.716243
25.100,3.736693
25.200,3.757187
25.300,3.777726
25.400,3.798308
25.500,3.818934
25.600,3.839604
25.700,3.860318
25.800,3.881076
25.900,3.901877
26.000,3.922723
26.100,3.943613
26.200,3.964546
26.300,3.985524
26.400,4.006545
26.500,4.027611
26.600,4.048720
26.700,4.069873
26.800,4.091070
26.900,4.112311
27.000,4.133595
27.100,4.154924
27.200,4.176296
27.300,4.197712
27.400,4.219172
27.500,4.240676
27.600,4.262224
27.700,4.283816
27.800,4.305451
27.900,4.327130
28.000,4.348853
28.100,4.370620
28.200,4.392430
28.300,4.414285
28.400,4.436183
28.500,4.458125
28.600,4.480110
28.700,4.502140
28.800,4.524213
28.900,4.546330
29.000,4.568490
29.100,4.590695
29.200,4.612943
29.300,4.635234
29.400,4.657570
29.500,4.679949
29.600,4.702372
29.700,4.724839
29.800,4.747349
29.900,4.769903
30.000,4.792500
30.100,4.815142
30.200,4.837827
30.300,4.860555
30.400,4.883328
30.500,4.906143
30.600,4.929003
30.700,4.951906
30.800,4.974853
30.900,4.997843
31.000,5.020877
31.100,5.043955
31.200,5.067076
31.300,5.090241
31.400,5.113450
31.500,5.136702
31.600,5.159997
31.700,5.183336
31.800,5.206719
31.900,5.230145
32.000,5.253615
32.100,5.277128
32.200,5.300685
32.300,5.324286
32.400,5.347930
32.500,5.371617
32.600,5.395348
32.700,5.419122
32.800,5.442940
32.900,5.466802
33.000,5.490707
33.100,5.514655
33.200,5.538647
33.300,5.562683
33.400,5.586761
33.500,5.610884
33.600,5.635049
33.700,5.659259
33.800,5.683511
33.900,5.707807
34.000,5.732147
34.100,5.756529
34.200,5.780956
34.300,5.805425
34.400,5.829939
34.500,5.854495
34.600,5.879095
34.700,5.903738
34.800,5.928425
34.900,5.953155
35.000,5.977928
